,Draft_Year,Rk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_PERC,3P_PERC,FT_PERC_per_Game,MP_per_Game,PTS_per_Game,TRB_per_Game,AST_per_Game,WS,WS_per_48,BPM,VORP
833,2009,46.0,CLE,Danny Green,University of North Carolina,8,456,11420,4057,1558,738,0.425,0.402,0.8190000000000001,25.0,8.9,3.4,1.6,30.0,0.126,3.3,15.4
834,2009,47.0,MIN,Henk Norel,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835,2009,48.0,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,0.4,0.0,0.5,4.0,1.3,0.3,0.1,0.0,-0.039,-7.3,0.0
836,2009,49.0,ATL,Sergiy Gladyr,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837,2009,50.0,UTA,Goran Suton,Michigan State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,2009,51.0,SAS,Jack McClinton,University of Miami,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,2009,52.0,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.057999999999999996,-2.4,-0.4
840,2009,53.0,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.8,0.4
841,2009,54.0,CHA,Robert Vaden,University of Alabama at Birmingham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,2009,55.0,POR,Patrick Mills,Saint Mary's College of California,8,422,7043,3286,643,876,0.436,0.39299999999999996,0.836,16.7,7.8,1.5,2.1,18.5,0.126,0.9,5.1
843,2009,56.0,DAL,Ahmad Nivins,Saint Joseph's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,2009,57.0,PHO,Emir Preldzic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,2009,58.0,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.27699999999999997,0.8059999999999999,10.4,4.7,1.4,1.2,0.2,0.016,-2.7,-0.1
846,2009,59.0,LAL,Chinemelu Elonu,Texas A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847,2009,60.0,MIA,Robert Dozier,University of Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848,2010,1.0,WAS,John Wall,University of Kentucky,7,482,17399,8973,2164,4430,0.431,0.318,0.792,36.1,18.6,4.5,9.2,38.2,0.106,2.4,19.3
849,2010,2.0,PHI,Evan Turner,Ohio State University,7,519,14701,5519,2612,1932,0.43200000000000005,0.302,0.7829999999999999,28.3,10.6,5.0,3.7,15.7,0.051,-2.0,-0.1
850,2010,3.0,NJN,Derrick Favors,Georgia Institute of Technology,7,476,12296,5452,3422,506,0.51,0.16,0.665,25.8,11.5,7.2,1.1,33.5,0.131,0.8,8.7
851,2010,4.0,MIN,Wesley Johnson,Syracuse University,7,484,11337,3686,1620,559,0.40700000000000003,0.33899999999999997,0.743,23.4,7.6,3.3,1.2,9.1,0.039,-1.2,2.4
